team1_id,game_id,team2_id,season,week
1,5,7,2021,1
2,2,5,2021,1
3,3,8,2021,1
4,1,10,2021,1
6,4,9,2021,1
1,5,6,2021,2
2,2,10,2021,2
3,1,5,2021,2
4,3,9,2021,2
7,4,8,2021,2
1,4,8,2021,3
2,1,3,2021,3
4,2,5,2021,3
6,3,10,2021,3
7,5,9,2021,3
1,5,9,2021,4
2,2,4,2021,4
3,1,10,2021,4
5,3,7,2021,4
6,4,8,2021,4
1,3,2,2021,5
3,1,4,2021,5
5,2,10,2021,5
6,5,7,2021,5
8,4,9,2021,5
1,4,5,2021,6
2,5,6,2021,6
3,1,9,2021,6
4,2,8,2021,6
7,3,10,2021,6
1,3,10,2021,7
2,5,9,2021,7
3,1,6,2021,7
4,2,7,2021,7
5,4,8,2021,7
1,2,4,2021,8
2,5,8,2021,8
3,1,7,2021,8
5,4,6,2021,8
9,3,10,2021,8
1,1,3,2021,9
2,5,7,2021,9
4,2,6,2021,9
5,4,9,2021,9
8,3,10,2021,9
1,5,7,2021,10
2,2,5,2021,10
3,3,8,2021,10
4,1,10,2021,10
6,4,9,2021,10
1,5,6,2021,11
2,2,10,2021,11
3,1,5,2021,11
4,3,9,2021,11
7,4,8,2021,11
1,4,8,2021,12
2,1,3,2021,12
4,2,5,2021,12
6,3,10,2021,12
7,5,9,2021,12
1,5,9,2021,13
2,2,4,2021,13
3,1,10,2021,13
5,3,7,2021,13
6,4,8,2021,13
1,3,2,2021,14
3,1,4,2021,14
5,2,10,2021,14
6,5,7,2021,14
8,4,9,2021,14
